section,row_type,dataset_type,meeting_id,candidate_model,meeting_count,evaluator_run_count,accuracy_avg,completeness_avg,coverage_avg,accuracy_scores_by_evaluator,completeness_scores_by_evaluator,coverage_scores_by_evaluator,note,report_path
detail,meeting_model,city_council,t_248142763499862397328970003316117925955,gpt-41-mini,,2,0.688,0.806,0.775,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.667, ""gpt-5-2025-08-07"": 0.708}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.757, ""gpt-5-2025-08-07"": 0.855}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.75}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_248142763499862397328970003316117925955/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_248142763499862397328970003316117925955,gpt-5-mini,,2,0.65,0.874,0.875,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.7, ""gpt-5-2025-08-07"": 0.6}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.853, ""gpt-5-2025-08-07"": 0.895}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.9, ""gpt-5-2025-08-07"": 0.85}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_248142763499862397328970003316117925955/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_248142763499862397328970003316117925955,gpt-51,,2,0.85,0.932,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.8, ""gpt-5-2025-08-07"": 0.9}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.902, ""gpt-5-2025-08-07"": 0.963}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_248142763499862397328970003316117925955/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_258810779752442698698651215247285387144,gpt-41-mini,,2,0.0,0.0,0.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0, ""gpt-5-2025-08-07"": 0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_258810779752442698698651215247285387144/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_258810779752442698698651215247285387144,gpt-5-mini,,2,0.0,0.0,0.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0, ""gpt-5-2025-08-07"": 0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_258810779752442698698651215247285387144/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_258810779752442698698651215247285387144,gpt-51,,2,0.0,0.0,0.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0, ""gpt-5-2025-08-07"": 0}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.0, ""gpt-5-2025-08-07"": 0.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_258810779752442698698651215247285387144/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_270737199556905365224480426786176969466,gpt-41-mini,,2,0.6,0.801,0.776,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.64, ""gpt-5-2025-08-07"": 0.56}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.843, ""gpt-5-2025-08-07"": 0.76}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.793, ""gpt-5-2025-08-07"": 0.759}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_270737199556905365224480426786176969466/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_270737199556905365224480426786176969466,gpt-5-mini,,2,0.732,0.815,0.897,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.821, ""gpt-5-2025-08-07"": 0.643}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.828, ""gpt-5-2025-08-07"": 0.802}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.862, ""gpt-5-2025-08-07"": 0.931}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_270737199556905365224480426786176969466/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_270737199556905365224480426786176969466,gpt-51,,2,0.744,0.898,0.914,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.838, ""gpt-5-2025-08-07"": 0.649}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.877, ""gpt-5-2025-08-07"": 0.919}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.897, ""gpt-5-2025-08-07"": 0.931}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_270737199556905365224480426786176969466/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_295418528221287250041921315123836423951,gpt-41-mini,,2,0.794,0.786,0.879,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.794, ""gpt-5-2025-08-07"": 0.794}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.835, ""gpt-5-2025-08-07"": 0.737}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.909, ""gpt-5-2025-08-07"": 0.848}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_295418528221287250041921315123836423951/offline/evaluation_report_standard_gpt-41-mini.json
